experiment_id,model_architecture,status,training_seed,split_seed,dataset_fingerprint,split_manifest_hash,river_fingerprint,image_size,batch_size,epochs_planned,epochs_completed,optimizer,learning_rate,scheduler,augmentation,initialization,hardware,software_versions,config_path,config_sha256,best_checkpoint_path,best_checkpoint_sha256,best_checkpoint_bytes,last_checkpoint_path,last_checkpoint_sha256,last_checkpoint_bytes,history_path,history_sha256,evaluation_paths,evaluation_sha256,thresholds,evaluator_version,eligible_for_final_comparison,eligibility_reason
FRCNN-S42-STRATIFIED-LEGACY,Faster R-CNN ResNet-50-FPN,complete-noncanonical,42,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,640,8,110,110,SGD momentum=0.9 weight_decay=5e-4,0.001,CosineAnnealingLR,legacy/insufficiently documented,pretrained COCO weights,Unknown / Not found,Unknown / Not found,extracted_marine_3model_comparison/marine_3model_comparison/used_config.yaml,0842978eb00df6c8defc7c75cb8ad8a0f51c507ec7b4134b4f61b8f773f0eb29,extracted_marine_3model_comparison/marine_3model_comparison/torchvision/frcnn/best.pt,b33cd4d19adb4efb8f4251fe94f6e294cb43618c731449621ec1b00cd73f43cd,165750314,extracted_marine_3model_comparison/marine_3model_comparison/torchvision/frcnn/last.pt,87ab3017df808efe556b33136323ee0508ab2cb20699fb2c8e53008b28a42422,165750314,extracted_marine_3model_comparison/marine_3model_comparison/torchvision/frcnn/history.csv,8a041aa83d4878f194e83c9792c5445a59abed905b1928b7b3a8ff4480a6b229,extracted_marine_3model_comparison/marine_3model_comparison/results_overall_test.csv;extracted_marine_3model_comparison/marine_3model_comparison/frcnn_river_cross_domain_manual.csv,855b30366eacd9137fdf423f969d5d46da4d464a60b5e2b2f05b1ea30b52cf84;1f5a132918ea3e2c11f311d48b0ef29767da26790ec0db79b3e9e632d8befc9e,conf_torch=0.50;iou_match=0.50,Unknown / Not found,False,Image-level stratified legacy split; best checkpoint selected under legacy criterion
YOLO-S123-LEGACY,YOLOv8s,corrupted,123,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,640,16,110,Unknown / Not found,AdamW,0.01,cosine,flip=0.5;brightness=0.2;saturation=0.2,pretrained COCO weights,"Tesla T4 (inferred from associated Kaggle family, not run-bound)",Unknown / Not found,training_results/yolov8s_seed_123/marine_3model_comparison/runs/seed_123/used_config.yaml,24c2c3340ee265cf481d5a01b796f158b60fe794024761f87dceb3da58a39a9d,training_results/yolov8s_seed_123/marine_3model_comparison/runs/seed_123/yolo/yolov8s_stage1/weights/best.pt,de7958b014a6a41084e545b21dc4712221afe44df9ea9c9a2496cca4d6328f3b,22501930,training_results/yolov8s_seed_123/marine_3model_comparison/runs/seed_123/yolo/yolov8s_stage2/weights/best.pt,Unknown / Not found,0,Unknown / Not found,Unknown / Not found,training_results/yolov8s_seed_123/marine_3model_comparison/runs/seed_123/results_overall_test.csv;training_results/yolov8s_seed_123/marine_3model_comparison/runs/seed_123/results_cross_domain.csv,76a5870965894e77459a16d0c1d5235741c88bab88199a089b33294a91bde9fd;19f23d7f502f95fbdcb35f2fa022e4bf6a0a269c8917c1ddff0ce83e1a86a2f1,confidence=0.25;iou_match=0.50;river_class_agnostic_nms=0.50,Unknown / Not found,False,Stage-2 checkpoint is zero bytes; history absent; noncanonical split
SSD-S123-LEGACY,SSDLite320 MobileNetV3-Large,complete-noncanonical,123,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,320,16,110,110,SGD momentum=0.9 weight_decay=5e-4,0.001,CosineAnnealingLR,flip=0.5;brightness=0.2;saturation=0.2,pretrained COCO weights,Tesla T4,torch=2.10.0+cu128;cuda=12.8;python=3.12.13,.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/used_config.yaml,f57b72b33c2aefb009abf1a3778ec58203cbe5cedcb2dbff854661efead7f009,.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/torchvision/ssd/best.pt,92bd4f6b5632495514e749321592545ad6ba3729ee7b533bb83c1bc00b414efd,9223969,.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/torchvision/ssd/last.pt,d995b2d2951f548664f04a562dee280f0392c92c4b6c2d6e71d57e5c95ed11bc,9223969,.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/torchvision/ssd/history.csv,dc18dc29a29c02b57e8a08aed1e49ad5baef140c58e1b9b6d171d90ce1a2ff26,.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/results_overall_test.csv;.kaggle_ssd_final/marine_3model_comparison/runs/seed_123/results_cross_domain.csv,abe3550cb22dee33130df05666b22e7b8b61d2ea63a46e359d3689556603a561;5e6f291e2cffe26fcc08685294e438136daa279fa6243e11ab57529eb26b904d,confidence=0.25;iou_match=0.50;river_class_agnostic_nms=0.50,Unknown / Not found,False,Legacy sequence-count-balanced split; no canonical fingerprint
FRCNN-S123-PARTIAL,Faster R-CNN ResNet-50-FPN,partial-not-resumable,123,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,640,8,110,87,SGD momentum=0.9 weight_decay=5e-4,0.001,CosineAnnealingLR,flip=0.5;brightness=0.2;saturation=0.2,pretrained COCO weights,Tesla T4,torch=2.10.0+cu128;cuda=12.8;python=3.12.13,.kaggle_training_progress_latest/marine_3model_comparison/runs/seed_123/used_config.yaml,0f320334d44cbae75364f2ba56cf23ebb117913098e895b939c6e18b678c1887,.kaggle_training_progress_latest/marine_3model_comparison/runs/seed_123/torchvision/frcnn/best.pt,23b6e3e42f89af2ed7a85fb30d25724bc318fcb8b7d0fcfbd51bdea2d3ca79ed,165750890,.kaggle_training_progress_latest/marine_3model_comparison/runs/seed_123/torchvision/frcnn/last.pt,d7c2101391b345d1661cf60a8df4daef0bf21c47e6a0fdb4eb6c5182cb2f5cc1,165750890,.kaggle_training_progress_latest/marine_3model_comparison/runs/seed_123/torchvision/frcnn/history.csv,40c445ab58074eae2a795785b3a5c2ca7731eeadf433cb3c25ec0bc168e54e6e,Unknown / Not found,Unknown / Not found,confidence=0.25;iou_match=0.50;river_class_agnostic_nms=0.50,Unknown / Not found,False,Stopped at epoch 87; checkpoint has no optimizer/scheduler/scaler state; noncanonical split
SSD-S42-SEQUENCE-LEGACY,SSDLite320 MobileNetV3-Large,complete-noncanonical,42,42,Unknown / Not found,8dcf0b3f0136b474f0309339981c8f436595605c550de9864d47fb41201fcf3e,Unknown / Not found,320,16,110,110,SGD momentum=0.9 weight_decay=5e-4,0.001,CosineAnnealingLR,flip=0.5;brightness=0;saturation=0,pretrained COCO weights,Tesla T4,torch=2.10.0+cu128;cuda=12.8;python=3.12.13,training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/used_config.yaml,ad87ed5507e5975effa9b4180302500f52c22be752fd8392ae5efe579e0734b0,training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/torchvision/ssd/best.pt,7297b142e398e72f03c62c091706c673776508e478d6e60946e25b02f85a953e,9224033,training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/torchvision/ssd/last.pt,cda4094329f20ae4c8d6597262adb2c0e3b1eed396f5005880657f316396fe66,18225519,training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/torchvision/ssd/history.csv,23cae3f3d09709329498ef11b6ca4aadd435e4cd068b641f266a6eedeaeab930,training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/results_overall_test.csv;training_results/ssdlite_seed_42_kaggle/marine_3model_comparison/runs/seed_42/results_cross_domain.csv,3148ff894d645b49023d1aedfcdffddeae9e323db9310aa835035c267247f62e;47b5525f22ac9c291d4f3869ab6e147c45ff7fbb2bc237f109d62b71cb6b0a06,confidence=0.25;iou_match=0.50;river_class_agnostic_nms=0.50,Unknown / Not found,False,Its sequence audit and label/object totals differ from the chosen canonical manifest
YOLO-S42-RUNPOD-SEQUENCE,YOLOv8s,partial-not-resumable,42,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,640,16,110,110,AdamW,0.01,cosine,flip=0.5;brightness=0;saturation=0;mosaic=0;mixup=0;copy_paste=0,pretrained COCO weights,NVIDIA GeForce RTX 4090,Unknown / Not found,tmp/s3_volume_audit/used_config.yaml,d52edb89da4a27189a390691e0475163f008d1edb1efa38e33013811899c31a3,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,research_figures/source/yolo_stage2.csv,ae7c1eac7368657ab692a5870c86ebd518430ee72797bd946132a10d6b626e3c,research_figures/source/results_overall_test.csv,3c83f83e5ffc19097e35f7e840b7abfeda3772c06438d975fc0d85d6f1aaf7b4,confidence=0.25;iou_match=0.50;river_class_agnostic_nms=0.50,Unknown / Not found,False,"Log proves 10+100 epochs, but final best/last checkpoints are absent and copied evaluation provenance is incomplete"
RESEARCH-FIGURES-DERIVED-S42,Mixed three-model derived artifacts,unverified,42,42,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,110 rows per model source,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,pretrained COCO weights,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,research_figures/source/frcnn_history.csv,03f4bb945a4b549e5d40815d2c9d2ea06d8979cce04841c9ff956da787428e89,research_figures/source/results_overall_test.csv;research_figures/source/results_per_class_map.csv,3c83f83e5ffc19097e35f7e840b7abfeda3772c06438d975fc0d85d6f1aaf7b4;f63de020504331658d3497cdb2b76427e06d668c95ec678a693681488f5a0b4e,Unknown / Not found,Unknown / Not found,False,"Derived figures/CSVs are not fully linked to original run directories, checkpoints, configs, and manifests"
QUICK-20260814-01,None,failed,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,0,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,pretrained COCO weights,CPU,Unknown / Not found,.kaggle_quick_output/marine_3model_comparison/used_config.yaml,2397cd111dd941402c825f9492cc82c9b0fbf22227ce8e068dd9114282c65f55,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,.kaggle_quick_output/marine-three-model-controlled-comparison.log,e1a465c9b47272ba0f5a2998f9e97bc0ce2ef54d2b62c1cb4d22aa539d096046,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,False,Failed: Trash dataset path contained no images
QUICK-20260814-02,None,failed,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,0,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,pretrained COCO weights,CPU,Unknown / Not found,.kaggle_quick_output_v2/marine_3model_comparison/used_config.yaml,50efbc3a0302aaf1d17a557528da0b3091765e32b7d6ed6c6e76c61286a5bcd7,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,.kaggle_quick_output_v2/marine-three-model-controlled-comparison.log,5ffeaa11c6d8feeb8a7825d9a49a157278c18488009261feee3e4ec5c4f4681b,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,False,Data scan/debug ended without training evidence
QUICK-20260814-03,None,failed,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,0,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,pretrained COCO weights,Tesla T4,Unknown / Not found,.kaggle_quick_output_v3/marine_3model_comparison/used_config.yaml,50efbc3a0302aaf1d17a557528da0b3091765e32b7d6ed6c6e76c61286a5bcd7,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,.kaggle_quick_output_v3/marine-three-model-controlled-comparison.log,efa31a1964f77c4fa7d45568f6c99fafaf0c9d9f44fecf16c1cf9f3e267535d7,Unknown / Not found,Unknown / Not found,Unknown / Not found,Unknown / Not found,False,River validation failed at 64 images/91 objects
