sequence,split,frames
bio0001,train,218
bio0003,train,89
bio0010,train,44
bio0011,train,68
bio0012,train,99
bio0013,train,58
bio0014,train,61
bio0015,train,156
bio0016,train,226
bio0017,train,82
bio0018,train,63
obj0000,train,45
obj0002,train,101
obj0007,train,38
obj0009,train,69
obj0011,train,41
obj0014,train,30
obj0017,train,16
obj0029,train,9
obj0037,train,18
obj0075,train,19
obj0081,train,13
obj0083,train,8
obj0094,train,5
obj0158,train,7
obj0169,train,10
obj0182,train,13
obj0202,train,19
obj0204,train,26
obj0212,train,37
obj0214,train,24
obj0221,train,34
obj0228,train,40
obj0236,train,50
obj0243,train,43
obj0248,train,81
obj0300,train,27
obj0301,train,65
obj0304,train,24
obj0305,train,30
obj0309,train,132
obj0312,train,55
obj0314,train,32
obj0317,train,70
obj0318,train,17
obj0332,train,66
obj0334,train,72
obj0343,train,28
obj0347,train,82
obj0348,train,177
obj0350,train,63
obj0702,train,12
obj0708,train,12
obj0713,train,12
obj0748,train,16
obj0750,train,15
obj0751,train,21
obj0762,train,5
obj0764,train,1
obj0768,train,1
obj0784,train,7
obj0786,train,2
obj0789,train,14
obj0818,train,9
obj0854,train,21
obj0865,train,64
obj0871,train,24
obj1003,train,8
obj1016,train,13
obj1023,train,24
obj1024,train,50
obj1030,train,15
obj1033,train,18
obj1038,train,15
obj1042,train,15
obj1050,train,22
obj1051,train,7
obj1073,train,7
obj1076,train,10
obj1080,train,10
obj1087,train,14
obj1107,train,47
obj1108,train,32
obj1111,train,37
obj1202,train,62
obj1218,train,29
obj1224,train,6
obj1250,train,3
obj1251,train,35
obj1255,train,13
obj1280,train,32
obj1281,train,33
obj1282,train,20
obj1283,train,8
obj1284,train,26
obj1294,train,26
obj1297,train,35
obj1302,train,101
obj1323,train,70
obj1505,train,334
obj1603,train,27
obj1604,train,18
obj1605,train,16
obj1606,train,19
obj1607,train,23
obj1608,train,8
obj1609,train,21
obj1613,train,11
obj1614,train,12
obj1615,train,27
obj1617,train,144
obj1618,train,38
obj1619,train,27
obj1623,train,9
obj1624,train,27
obj1626,train,35
obj1627,train,14
obj1648,train,120
obj1653,train,7
obj1656,train,31
obj1657,train,46
obj1658,train,183
obj1663,train,56
obj1667,train,70
obj1672,train,75
bio0004,val,142
obj0038,val,16
obj0078,val,10
obj0241,val,40
obj0307,val,18
obj0313,val,62
obj0319,val,68
obj0340,val,25
obj0747,val,35
obj0749,val,29
obj0760,val,23
obj1006,val,27
obj1054,val,12
obj1074,val,4
obj1246,val,20
obj1314,val,32
obj1502,val,296
obj1602,val,86
obj1616,val,70
obj1620,val,13
obj1622,val,8
obj1629,val,44
obj1630,val,7
obj1660,val,14
obj1662,val,53
bio0000,test,157
bio0002,test,239
obj0084,test,21
obj0201,test,9
obj0226,test,69
obj0308,test,12
obj0310,test,56
obj0331,test,31
obj0333,test,36
obj0337,test,46
obj0707,test,17
obj0753,test,26
obj0856,test,15
obj1061,test,33
obj1064,test,13
obj1344,test,76
obj1523,test,24
obj1610,test,19
obj1621,test,10
obj1625,test,7
obj1628,test,6
obj1652,test,27
obj1654,test,100
obj1655,test,64
obj1664,test,40
